contractSymbol,Expiration Date,ETF,Stock Price,lastPrice,bid,ask,strike,ROI (%),OTM (%),volume,openInterest,Implied Volatility,highPrice,Original Stock Price,Original ROI (%),Original OTM (%),Original Implied Volatility,50-day MA,100-day MA,200-day MA,RSI,MACD,VWAP,Delta,Gamma,Theta,Vega,Rho,52WeekHigh,52WeekLow,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey
AAOI231208P00015000,2023-12-08,AAOI,16.13,0.18,0.15,0.3,15.0,1.01,7.01,190.0,71.0,1.13,0.15,16.13,1.01,7.01,1.13,10.25,10.65,6.87,67.11,1.73,9.71,-0.18,0.2,-32.55,0.32,-0.02,16.68,1.64,20.0,13.5,16.75,16.75,2.3,buy
AAOI231208P00016000,2023-12-08,AAOI,16.13,0.5,0.55,0.7,16.0,3.56,0.81,26.0,71.0,1.18,0.55,16.13,3.56,0.81,1.18,10.25,10.65,6.87,67.11,1.73,9.71,-0.45,0.28,-50.89,0.47,-0.04,16.68,1.64,20.0,13.5,16.75,16.75,2.3,buy
ACHR231208P00006000,2023-12-08,ACHR,6.2,0.05,0.05,0.1,6.0,0.84,3.23,5.0,161.0,0.7,0.05,6.2,0.84,3.23,0.7,5.35,5.67,4.32,53.99,0.26,5.03,-0.26,1.0,-9.45,0.15,-0.01,7.22,1.63,12.0,6.5,8.92,9.0,2.1,buy
AMC231208P00005000,2023-12-08,AMC,7.02,0.02,0.01,0.02,5.0,0.2,28.77,779.0,2870.0,2.06,0.01,7.02,0.2,28.77,2.06,8.63,18.78,34.53,38.15,-0.71,19.44,-0.01,0.03,-2.77,0.01,-0.0,76.1,6.65,15.0,5.0,8.95,8.0,3.6,underperform
AMC231208P00005500,2023-12-08,AMC,7.02,0.01,0.01,0.02,5.5,0.18,21.65,1032.0,4568.0,1.56,0.01,7.02,0.18,21.65,1.56,8.63,18.78,34.53,38.15,-0.71,19.44,-0.02,0.05,-2.82,0.02,-0.0,76.1,6.65,15.0,5.0,8.95,8.0,3.6,underperform
AMC231208P00006000,2023-12-08,AMC,7.02,0.03,0.02,0.03,6.0,0.33,14.53,4410.0,8227.0,1.22,0.02,7.02,0.33,14.53,1.22,8.63,18.78,34.53,38.15,-0.71,19.44,-0.04,0.13,-4.68,0.04,-0.0,76.1,6.65,15.0,5.0,8.95,8.0,3.6,underperform
AMC231208P00006500,2023-12-08,AMC,7.02,0.09,0.08,0.09,6.5,1.25,7.41,11929.0,17103.0,1.1,0.08,7.02,1.25,7.41,1.1,8.63,18.78,34.53,38.15,-0.71,19.44,-0.16,0.43,-12.81,0.13,-0.01,76.1,6.65,15.0,5.0,8.95,8.0,3.6,underperform
AMC231208P00007000,2023-12-08,AMC,7.02,0.29,0.28,0.29,7.0,4.17,0.28,6227.0,5623.0,1.16,0.28,7.02,4.17,0.28,1.16,8.63,18.78,34.53,38.15,-0.71,19.44,-0.47,0.66,-21.92,0.21,-0.02,76.1,6.65,15.0,5.0,8.95,8.0,3.6,underperform
APLD231208P00005000,2023-12-08,APLD,5.38,0.12,0.1,0.15,5.0,2.04,7.06,356.0,494.0,1.46,0.1,5.38,2.04,7.06,1.46,5.02,5.92,5.51,71.43,0.06,6.66,-0.23,0.52,-16.19,0.12,-0.01,10.24,1.51,19.0,12.0,15.21,15.0,2.0,buy
APPS231208P00005000,2023-12-08,APPS,5.76,0.01,0.01,0.03,5.0,0.2,13.19,90.0,292.0,1.13,0.01,5.76,0.2,13.19,1.13,5.26,7.1,9.0,62.45,0.01,10.41,-0.04,0.18,-3.83,0.04,-0.0,18.46,4.44,12.0,5.0,6.6,5.0,2.8,hold
BHC231208P00007000,2023-12-08,BHC,7.13,0.07,0.07,0.26,7.0,1.01,1.82,35.0,46.0,0.88,0.07,7.13,1.01,1.82,0.88,7.3,8.01,7.86,57.46,-0.01,7.89,-0.38,0.82,-15.96,0.2,-0.02,9.85,5.72,16.0,6.0,9.5,8.0,2.8,hold
CHPT231208P00001500,2023-12-08,CHPT,1.99,0.06,0.05,0.06,1.5,3.45,24.62,8136.0,3511.0,3.5,0.05,1.99,3.45,24.62,3.5,3.09,5.13,7.16,22.81,-0.35,7.0,-0.11,0.37,-8.91,0.03,-0.0,13.38,1.86,17.0,2.0,5.61,4.0,2.5,buy
COTY231208P00011500,2023-12-08,COTY,11.52,0.12,0.11,0.15,11.5,0.97,0.17,31.0,107.0,0.38,0.11,11.52,0.97,0.17,0.38,10.34,11.02,11.37,67.15,0.4,10.84,-0.47,1.22,-11.79,0.34,-0.03,13.1,7.78,17.0,10.0,12.76,13.0,2.4,buy
DISH231208P00003500,2023-12-08,DISH,3.84,0.01,0.02,0.03,3.5,0.57,8.85,41.0,1193.0,0.97,0.02,3.84,0.57,8.85,0.97,4.49,5.68,6.87,66.96,-0.2,7.52,-0.09,0.6,-4.14,0.05,-0.0,16.15,3.32,13.0,1.0,6.63,5.0,2.8,hold
ET231208P00013500,2023-12-08,ET,13.76,0.02,0.01,0.02,13.5,0.07,1.89,247.0,1164.0,0.2,0.01,13.76,0.07,1.89,0.2,13.46,13.16,12.53,68.6,0.13,12.28,-0.1,0.85,-3.31,0.18,-0.01,13.89,10.38,23.0,14.0,17.63,18.0,1.6,buy
F231208P00010000,2023-12-08,F,10.6,0.01,0.01,0.02,10.0,0.1,5.66,1728.0,6534.0,0.48,0.01,10.6,0.1,5.66,0.48,10.93,11.68,12.0,54.76,-0.06,11.88,-0.05,0.27,-3.57,0.08,-0.0,14.95,9.62,20.0,8.75,12.93,12.0,2.6,hold
F231208P00010500,2023-12-08,F,10.6,0.07,0.06,0.07,10.5,0.57,0.94,5162.0,8125.0,0.3,0.06,10.6,0.57,0.94,0.3,10.93,11.68,12.0,54.76,-0.06,11.88,-0.33,1.55,-7.65,0.28,-0.02,14.95,9.62,20.0,8.75,12.93,12.0,2.6,hold
FSR231208P00001500,2023-12-08,FSR,1.57,0.07,0.06,0.07,1.5,4.17,4.46,908.0,7841.0,1.72,0.06,1.57,4.17,4.46,1.72,4.43,5.23,5.62,15.56,-0.85,5.4,-0.34,1.83,-6.64,0.04,-0.0,8.39,1.57,11.0,1.0,4.65,3.25,3.2,hold
FTCH231208P00001000,2023-12-08,FTCH,1.18,0.04,0.04,0.05,1.0,4.17,15.25,1847.0,2578.0,2.88,0.04,1.18,4.17,15.25,2.88,1.67,2.78,3.86,43.96,-0.13,3.92,-0.19,1.07,-6.18,0.02,-0.0,7.53,0.97,13.0,1.5,4.63,3.75,2.7,hold
FUBO231208P00003000,2023-12-08,FUBO,3.21,0.03,0.02,0.03,3.0,0.67,6.54,1839.0,5160.0,0.84,0.02,3.21,0.67,6.54,0.84,2.72,2.66,2.15,58.86,0.17,2.24,-0.13,1.07,-3.91,0.05,-0.0,3.45,1.04,4.0,3.0,3.31,3.13,2.8,hold
GPS231208P00019500,2023-12-08,GPS,20.78,0.05,0.02,0.03,19.5,0.1,6.16,50.0,508.0,0.48,0.02,20.78,0.1,6.16,0.48,13.9,12.06,10.64,90.43,2.13,11.16,-0.04,0.11,-5.43,0.12,-0.0,21.02,7.19,22.0,8.0,16.12,16.0,2.9,hold
